pattern_type,url_slug,page_title,target_keyword,search_intent,priority,estimated_pages_in_batch
INDUSTRY,seo-tools-for-dentists,Best SEO Tools for Dentists,seo tools for dentists,Commercial,High,1
INDUSTRY,seo-tools-for-restaurants,Best SEO Tools for Restaurants,seo tools for restaurants,Commercial,High,1
INDUSTRY,seo-tools-for-real-estate-agents,Best SEO Tools for Real Estate Agents,seo tools for real estate agents,Commercial,High,1
INDUSTRY,seo-tools-for-lawyers,Best SEO Tools for Lawyers,seo tools for lawyers,Commercial,High,1
INDUSTRY,seo-tools-for-ecommerce,Best SEO Tools for Ecommerce,seo tools for ecommerce,Commercial,High,1
INDUSTRY,seo-tools-for-bloggers,Best SEO Tools for Bloggers,seo tools for bloggers,Commercial,High,1
INDUSTRY,seo-tools-for-saas,Best SEO Tools for SaaS Companies,seo tools for saas,Commercial,High,1
INDUSTRY,seo-tools-for-photographers,Best SEO Tools for Photographers,seo tools for photographers,Commercial,Medium,1
INDUSTRY,seo-tools-for-doctors,Best SEO Tools for Doctors,seo tools for doctors,Commercial,Medium,1
INDUSTRY,seo-tools-for-accountants,Best SEO Tools for Accountants,seo tools for accountants,Commercial,Medium,1
INDUSTRY,seo-tools-for-plumbers,Best SEO Tools for Plumbers,seo tools for plumbers,Commercial,Medium,1
INDUSTRY,seo-tools-for-freelancers,Best SEO Tools for Freelancers,seo tools for freelancers,Commercial,High,1
INDUSTRY,seo-tools-for-agencies,Best SEO Tools for Agencies,seo tools for agencies,Commercial,High,1
INDUSTRY,seo-tools-for-coaches,Best SEO Tools for Coaches,seo tools for coaches,Commercial,Medium,1
INDUSTRY,seo-tools-for-nonprofits,Best SEO Tools for Nonprofits,seo tools for nonprofits,Commercial,Low,1
INDUSTRY,seo-tools-for-hotels,Best SEO Tools for Hotels,seo tools for hotels,Commercial,Medium,1
INDUSTRY,seo-tools-for-gyms,Best SEO Tools for Gyms,seo tools for gyms,Commercial,Low,1
INDUSTRY,seo-tools-for-startups,Best SEO Tools for Startups,seo tools for startups,Commercial,High,1
INDUSTRY,seo-tools-for-small-business,Best SEO Tools for Small Business,seo tools for small business,Commercial,High,1
INDUSTRY,seo-tools-for-youtube,Best SEO Tools for YouTube,seo tools for youtube,Commercial,High,1
INDUSTRY,seo-tools-for-shopify,Best SEO Tools for Shopify Stores,seo tools for shopify,Commercial,High,1
INDUSTRY,seo-tools-for-woocommerce,Best SEO Tools for WooCommerce,seo tools for woocommerce,Commercial,Medium,1
INDUSTRY,seo-tools-for-wordpress,Best SEO Tools for WordPress,seo tools for wordpress,Commercial,High,1
INDUSTRY,seo-tools-for-healthcare,Best SEO Tools for Healthcare,seo tools for healthcare,Commercial,Medium,1
INDUSTRY,seo-tools-for-insurance,Best SEO Tools for Insurance Companies,seo tools for insurance,Commercial,Medium,1
COMPETITOR,seozapp-vs-ahrefs,Seozapp vs Ahrefs: Full Comparison,seozapp vs ahrefs,Transactional,High,1
COMPETITOR,seozapp-vs-semrush,Seozapp vs Semrush: Full Comparison,seozapp vs semrush,Transactional,High,1
COMPETITOR,seozapp-vs-moz,Seozapp vs Moz: Full Comparison,seozapp vs moz,Transactional,High,1
COMPETITOR,seozapp-vs-ubersuggest,Seozapp vs Ubersuggest: Full Comparison,seozapp vs ubersuggest,Transactional,High,1
COMPETITOR,seozapp-vs-mangools,Seozapp vs Mangools: Full Comparison,seozapp vs mangools,Transactional,Medium,1
COMPETITOR,seozapp-vs-surfer-seo,Seozapp vs Surfer SEO: Full Comparison,seozapp vs surfer seo,Transactional,Medium,1
COMPETITOR,seozapp-vs-rankmath,Seozapp vs RankMath: Full Comparison,seozapp vs rankmath,Transactional,Medium,1
COMPETITOR,seozapp-vs-yoast,Seozapp vs Yoast SEO: Full Comparison,seozapp vs yoast seo,Transactional,Medium,1
COMPETITOR,seozapp-vs-clearscope,Seozapp vs Clearscope: Full Comparison,seozapp vs clearscope,Transactional,Medium,1
COMPETITOR,seozapp-vs-frase,Seozapp vs Frase: Full Comparison,seozapp vs frase,Transactional,Medium,1
COMPETITOR,ahrefs-alternative,Best Ahrefs Alternative,ahrefs alternative,Transactional,High,1
COMPETITOR,semrush-alternative,Best Semrush Alternative,semrush alternative,Transactional,High,1
COMPETITOR,moz-alternative,Best Moz Alternative,moz alternative,Transactional,High,1
